"Age","Year","Births"
15 to 19 years,2013,2271
20 to 24 years,2013,16100
25 to 29 years,2013,42553
30 to 34 years,2013,42131
35 to 39 years,2013,17800
40 to 44 years,2013,3722
15 to 19 years,2014,2189
20 to 24 years,2014,15307
25 to 29 years,2014,42072
30 to 34 years,2014,42345
35 to 39 years,2014,18276
40 to 44 years,2014,3923
15 to 19 years,2015,2045
20 to 24 years,2015,14311
25 to 29 years,2015,41214
30 to 34 years,2015,41429
35 to 39 years,2015,18551
40 to 44 years,2015,3810
15 to 19 years,2016,1902
20 to 24 years,2016,13790
25 to 29 years,2016,40923
30 to 34 years,2016,41500
35 to 39 years,2016,18873
40 to 44 years,2016,3845
15 to 19 years,2017,1798
20 to 24 years,2017,12569
25 to 29 years,2017,39624
30 to 34 years,2017,41512
35 to 39 years,2017,19067
40 to 44 years,2017,4106
15 to 19 years,2018,1694
20 to 24 years,2018,11717
25 to 29 years,2018,38422
30 to 34 years,2018,42239
35 to 39 years,2018,19091
40 to 44 years,2018,4233
15 to 19 years,2019,1554
20 to 24 years,2019,11227
25 to 29 years,2019,37648
30 to 34 years,2019,42388
35 to 39 years,2019,19485
40 to 44 years,2019,4332
15 to 19 years,2020,1505
20 to 24 years,2020,11090
25 to 29 years,2020,35905
30 to 34 years,2020,41979
35 to 39 years,2020,18571
40 to 44 years,2020,4323
15 to 19 years,2021,1393
20 to 24 years,2021,10291
25 to 29 years,2021,35881
30 to 34 years,2021,45534
35 to 39 years,2021,19843
40 to 44 years,2021,4564
15 to 19 years,2022,1347
20 to 24 years,2022,10313
25 to 29 years,2022,33457
30 to 34 years,2022,43633
35 to 39 years,2022,19824
40 to 44 years,2022,4595
15 to 19 years,2023,1345
20 to 24 years,2023,10075
25 to 29 years,2023,31514
30 to 34 years,2023,42695
35 to 39 years,2023,19622
40 to 44 years,2023,4509
