"year","age","value"
2014,"15 years",60420
2015,"15 years",60439
2016,"15 years",61359
2017,"15 years",60732
2018,"15 years",59781
2019,"15 years",60742
2020,"15 years",62287
2021,"15 years",63387
2022,"15 years",65714
2023,"15 years",66937
2014,"16 years",61551
2015,"16 years",60653
2016,"16 years",60805
2017,"16 years",61633
2018,"16 years",61008
2019,"16 years",60184
2020,"16 years",61160
2021,"16 years",62544
2022,"16 years",63704
2023,"16 years",66509
2014,"17 years",61846
2015,"17 years",61809
2016,"17 years",61100
2017,"17 years",61143
2018,"17 years",61977
2019,"17 years",61436
2020,"17 years",60522
2021,"17 years",61454
2022,"17 years",62929
2023,"17 years",64607
2014,"18 years",61666
2015,"18 years",62396
2016,"18 years",62632
2017,"18 years",61684
2018,"18 years",61806
2019,"18 years",62760
2020,"18 years",62125
2021,"18 years",61187
2022,"18 years",62318
2023,"18 years",64369
2014,"19 years",62274
2015,"19 years",62262
2016,"19 years",63295
2017,"19 years",63216
2018,"19 years",62384
2019,"19 years",62590
2020,"19 years",63558
2021,"19 years",62816
2022,"19 years",62210
2023,"19 years",63934
2014,"20 years",65744
2015,"20 years",63066
2016,"20 years",63301
2017,"20 years",63978
2018,"20 years",63984
2019,"20 years",63284
2020,"20 years",63591
2021,"20 years",64310
2022,"20 years",63864
2023,"20 years",63798
2014,"21 years",68831
2015,"21 years",66682
2016,"21 years",64224
2017,"21 years",64147
2018,"21 years",64838
2019,"21 years",65044
2020,"21 years",64316
2021,"21 years",64349
2022,"21 years",65567
2023,"21 years",65614
2014,"22 years",70606
2015,"22 years",69855
2016,"22 years",67962
2017,"22 years",65146
2018,"22 years",65263
2019,"22 years",66055
2020,"22 years",66229
2021,"22 years",65299
2022,"22 years",65803
2023,"22 years",67756
2014,"23 years",71413
2015,"23 years",71654
2016,"23 years",71087
2017,"23 years",69022
2018,"23 years",66304
2019,"23 years",66616
2020,"23 years",67563
2021,"23 years",67401
2022,"23 years",66818
2023,"23 years",68025
2014,"24 years",71071
2015,"24 years",72403
2016,"24 years",72965
