"","Age","Year","Count"
"1","15 to 19 years",2013,308057
"2","15 to 19 years",2014,306980
"3","15 to 19 years",2015,307707
"4","15 to 19 years",2016,308061
"5","15 to 19 years",2017,307115
"6","15 to 19 years",2018,306717
"7","15 to 19 years",2019,308045
"8","15 to 19 years",2020,309909
"9","15 to 19 years",2021,313498
"10","15 to 19 years",2022,321070
"11","15 to 19 years",2023,326356
"12","20 to 24 years",2013,346850
"13","20 to 24 years",2014,345121
"14","20 to 24 years",2015,341318
"15","20 to 24 years",2016,336706
"16","20 to 24 years",2017,332583
"17","20 to 24 years",2018,329682
"18","20 to 24 years",2019,328951
"19","20 to 24 years",2020,329349
"20","20 to 24 years",2021,330082
"21","20 to 24 years",2022,332510
"22","20 to 24 years",2023,334450
"23","25 to 29 years",2013,351576
"24","25 to 29 years",2014,355316
"25","25 to 29 years",2015,360309
"26","25 to 29 years",2016,365449
"27","25 to 29 years",2017,369126
"28","25 to 29 years",2018,370859
"29","25 to 29 years",2019,369838
"30","25 to 29 years",2020,366366
"31","25 to 29 years",2021,362534
"32","25 to 29 years",2022,361617
"33","25 to 29 years",2023,363552
"34","30 to 34 years",2013,364815
"35","30 to 34 years",2014,364927
"36","30 to 34 years",2015,363795
"37","30 to 34 years",2016,362480
"38","30 to 34 years",2017,362816
"39","30 to 34 years",2018,365479
"40","30 to 34 years",2019,369963
"41","30 to 34 years",2020,375148
"42","30 to 34 years",2021,380553
"43","30 to 34 years",2022,386904
"44","30 to 34 years",2023,392447
"45","35 to 39 years",2013,356190
"46","35 to 39 years",2014,357934
"47","35 to 39 years",2015,363044
"48","35 to 39 years",2016,368786
"49","35 to 39 years",2017,372269
"50","35 to 39 years",2018,373791
"51","35 to 39 years",2019,374295
"52","35 to 39 years",2020,373544
"53","35 to 39 years",2021,372819
"54","35 to 39 years",2022,376013
"55","35 to 39 years",2023,380230
"56","40 to 44 years",2013,384013
"57","40 to 44 years",2014,379514
"58","40 to 44 years",2015,373297
"59","40 to 44 years",2016,366711
"60","40 to 44 years",2017,362394
"61","40 to 44 years",2018,361686
"62","40 to 44 years",2019,364207
"63","40 to 44 years",2020,369632
"64","40 to 44 years",2021,375744
"65","40 to 44 years",2022,381486
"66","40 to 44 years",2023,385641
