;;Number;Number;Number;Number;Number;Number;Number;Number;Number;
;;Total;under 20;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 +;Unknown;
2013;Total for the country;66578;6968;15002;20433;15591;7305;1202;74;3;
2014;Total for the country;67585;6655;14454;20770;16204;7978;1401;116;7;
2015;Total for the country;65950;6274;13157;20655;16257;7917;1522;165;3;
2016;Total for the country;64984;6031;12341;20315;16530;7837;1731;198;1;
2017;Total for the country;63955;6038;11690;19565;16586;7986;1874;215;1;
2018;Total for the country;62197;6191;10625;18644;16770;7825;1917;222;3;
2019;Total for the country;61538;6245;10247;17964;16889;7928;2024;239;2;
2020;Total for the country;59086;5970;9983;16486;16495;7857;1987;307;1;
2021;Total for the country;58678;5861;9984;15744;16780;8043;1959;304;3;
2022;Total for the country;56596;5769;9813;14637;15717;8265;1987;405;3;
2023;Total for the country;57197;5820;10206;14223;15588;8718;2166;475;1;
