;;;Number;
;;;Total;
;;;Female;
2013;Total;20 - 24;210009;
2013;Total;25 - 29;235863;
2013;Total;30 - 34;238889;
2013;Total;35 - 39;268089;
2013;Total;40 - 44;256523;
2014;Total;20 - 24;196210;
2014;Total;25 - 29;235601;
2014;Total;30 - 34;233998;
2014;Total;35 - 39;262051;
2014;Total;40 - 44;258549;
2015;Total;20 - 24;181573;
2015;Total;25 - 29;233455;
2015;Total;30 - 34;232217;
2015;Total;35 - 39;255285;
2015;Total;40 - 44;260774;
2016;Total;20 - 24;169454;
2016;Total;25 - 29;225882;
2016;Total;30 - 34;231859;
2016;Total;35 - 39;247772;
2016;Total;40 - 44;263603;
2017;Total;20 - 24;157370;
2017;Total;25 - 29;215962;
2017;Total;30 - 34;231894;
2017;Total;35 - 39;240549;
2017;Total;40 - 44;266996;
2018;Total;20 - 24;149153;
2018;Total;25 - 29;203810;
2018;Total;30 - 34;232109;
2018;Total;35 - 39;235844;
2018;Total;40 - 44;264556;
2019;Total;20 - 24;146424;
2019;Total;25 - 29;189909;
2019;Total;30 - 34;231707;
2019;Total;35 - 39;231040;
2019;Total;40 - 44;258606;
2020;Total;20 - 24;148956;
2020;Total;25 - 29;177211;
2020;Total;30 - 34;231319;
2020;Total;35 - 39;230711;
2020;Total;40 - 44;253208;
2021;Total;20 - 24;147841;
2021;Total;25 - 29;166302;
2021;Total;30 - 34;224726;
2021;Total;35 - 39;231241;
2021;Total;40 - 44;246276;
2022;Total;20 - 24;132657;
2022;Total;25 - 29;136029;
2022;Total;30 - 34;185274;
2022;Total;35 - 39;207874;
2022;Total;40 - 44;221717;
2023;Total;20 - 24;135870;
2023;Total;25 - 29;131524;
2023;Total;30 - 34;176655;
2023;Total;35 - 39;207896;
2023;Total;40 - 44;218328;
