Age,Year,Count
20 - 24,2013,210009
25 - 29,2013,235863
30 - 34,2013,238889
35 - 39,2013,268089
40 - 44,2013,256523
20 - 24,2014,196210
25 - 29,2014,235601
30 - 34,2014,233998
35 - 39,2014,262051
40 - 44,2014,258549
20 - 24,2015,181573
25 - 29,2015,233455
30 - 34,2015,232217
35 - 39,2015,255285
40 - 44,2015,260774
20 - 24,2016,169454
25 - 29,2016,225882
30 - 34,2016,231859
35 - 39,2016,247772
40 - 44,2016,263603
20 - 24,2017,157370
25 - 29,2017,215962
30 - 34,2017,231894
35 - 39,2017,240549
40 - 44,2017,266996
20 - 24,2018,149153
25 - 29,2018,203810
30 - 34,2018,232109
35 - 39,2018,235844
40 - 44,2018,264556
20 - 24,2019,146424
25 - 29,2019,189909
30 - 34,2019,231707
35 - 39,2019,231040
40 - 44,2019,258606
20 - 24,2020,148956
25 - 29,2020,177211
30 - 34,2020,231319
35 - 39,2020,230711
40 - 44,2020,253208
20 - 24,2021,147841
25 - 29,2021,166302
30 - 34,2021,224726
35 - 39,2021,231241
40 - 44,2021,246276
20 - 24,2022,132657
25 - 29,2022,136029
30 - 34,2022,185274
35 - 39,2022,207874
40 - 44,2022,221717
20 - 24,2023,135870
25 - 29,2023,131524
30 - 34,2023,176655
35 - 39,2023,207896
40 - 44,2023,218328
