GENESIS-Tabelle: 12612-0001
Lebendgeborene: Deutschland, Jahre, Geschlecht;;;
Statistik der Geburten;;;
Deutschland;;;
Lebendgeborene (Anzahl);;;
;männlich;weiblich;Insgesamt
2013;349820;332249;682069
2014;366835;348092;714927
2015;378478;359097;737575
2016;405585;386546;792141
2017;402510;382374;784901
2018;404052;383471;787523
2019;399292;378798;778090
2020;397385;375759;773144
2021;408474;387018;795492
2022;379111;359708;738819
2023;355299;337690;692989
__________
"2016 - 2017:
Die Gesamtzahl der Lebendgeborenen enthält auch die Fälle
mit unbestimmtem Geschlecht."
© Statistisches Bundesamt (Destatis), 2024
Stand: 04.07.2024 / 23:49:05
