"Live births by sex of child, age of mother and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Boys"
" ","15 years",3,3,7,4,3,6,1,1,0,0,1
" ","16 years",12,22,15,9,11,4,3,0,5,4,5
" ","17 years",44,46,23,30,27,21,15,14,12,9,4
" ","18 years",88,88,82,98,70,53,38,35,30,21,21
" ","19 years",215,184,198,180,140,124,118,90,69,64,63
" ","20 years",295,301,298,282,283,241,218,156,130,140,128
" ","21 years",443,416,432,496,402,372,307,249,260,255,176
" ","22 years",556,568,616,634,624,542,482,386,372,363,324
" ","23 years",784,795,833,863,874,830,740,637,554,526,514
" ","24 years",1023,1112,1103,1161,1225,1175,1081,933,924,755,727
" ","25 years",1304,1405,1459,1539,1481,1517,1449,1430,1329,1155,1049
" ","26 years",1550,1717,1689,1908,1889,1907,1897,1830,1741,1515,1487
" ","27 years",1808,1975,1922,2200,2219,2103,2255,2145,2250,2130,1948
" ","28 years",2003,2111,2206,2460,2462,2474,2456,2553,2627,2374,2333
" ","29 years",2127,2235,2273,2535,2589,2718,2777,2737,2847,2657,2512
" ","30 years",2156,2234,2376,2536,2555,2535,2650,2714,2921,2751,2751
" ","31 years",2179,2080,2253,2423,2427,2484,2530,2685,2815,2641,2708
" ","32 years",2092,2049,2131,2169,2222,2276,2320,2372,2555,2407,2389
" ","33 years",1974,1851,1887,1916,1855,1983,2045,2036,2305,2129,2145
" ","34 years",1664,1711,1664,1718,1642,1700,1727,1828,1848,1806,1881
" ","35 years",1496,1502,1561,1518,1516,1489,1467,1444,1739,1541,1554
" ","36 years",1180,1224,1236,1288,1194,1250,1203,1251,1341,1290,1228
" ","37 years",1067,977,1000,1122,1068,1029,1001,993,1068,992,978
" ","38 years",830,839,777,841,784,837,826,768,863,762,792
" ","39 years",614,674,661,652,664,643,638,628,675,610,603
" ","40 years",438,459,470,465,484,504,458,477,466,396,448
" ","41 years",273,300,294,319,316,309,330,316,329,317,281
" ","42 years",192,189,181,194,195,225,192,196,203,226,189
" ","43 years",83,101,92,94,112,118,124,108,121,118,134
" ","44 years",34,31,48,59,62,66,75,73,70,64,69
"Girls"
" ","15 years",7,3,3,2,0,0,1,1,0,0,4
" ","16 years",19,12,9,7,1,4,3,3,3,1,3
" ","17 years",35,24,24,17,12,12,14,6,7,9,6
" ","18 years",108,61,63,78,63,67,37,37,31,22,24
" ","19 years",207,186,159,177,144,118,109,87,63,67,63
" ","20 years",291,288,259,281,254,226,180,154,150,131,105
" ","21 years",410,388,409,424,417,356,292,281,270,203,172
" ","22 years",552,560,578,600,585,523,487,429,377,324,312
" ","23 years",753,792,737,831,853,725,679,591,517,477,468
" ","24 years",1033,1034,1077,1077,1058,1032,988,878,813,734,622
" ","25 years",1239,1226,1352,1490,1405,1428,1343,1293,1227,1110,976
" ","26 years",1529,1591,1706,1736,1846,1725,1769,1694,1828,1540,1365
" ","27 years",1739,1833,1907,2103,2061,2114,2089,2014,2109,1954,1744
" ","28 years",1847,1899,2219,2291,2374,2357,2415,2474,2531,2185,2266
" ","29 years",2083,2163,2236,2373,2480,2552,2414,2601,2613,2516,2472
" ","30 years",2111,2098,2167,2333,2355,2423,2468,2644,2655,2545,2649
" ","31 years",2134,2066,2077,2283,2302,2333,2418,2554,2716,2478,2462
" ","32 years",1912,1875,1989,2005,2049,2190,2298,2274,2451,2341,2313
" ","33 years",1799,1770,1767,1807,1912,1927,1978,1952,2129,1931,2054
" ","34 years",1602,1680,1574,1626,1562,1690,1663,1714,1885,1755,1767
" ","35 years",1316,1456,1435,1430,1419,1381,1441,1503,1597,1413,1446
" ","36 years",1121,1169,1129,1280,1200,1099,1110,1170,1255,1195,1218
" ","37 years",940,913,961,984,1002,958,955,921,1004,924,972
" ","38 years",799,796,745,824,757,780,733,733,760,729,713
" ","39 years",642,642,636,596,594,641,566,576,655,518,575
" ","40 years",422,440,470,467,459,440,454,451,471,441,401
" ","41 years",273,267,275,327,320,330,278,278,297,294,292
" ","42 years",179,178,179,166,197,180,177,190,189,179,160
" ","43 years",70,102,114,104,111,106,133,110,140,103,103
" ","44 years",42,50,38,64,58,67,82,69,57,73,67

"The 21. February 2018 the number of livebirths is revised with 125 "
"more born in 2017. "

