Age,Year,Births
15 to 19 years,2013,738
20 to 24 years,2013,6140
25 to 29 years,2013,17229
30 to 34 years,2013,19623
35 to 39 years,2013,10005
40 to 44 years,2013,2006
15 to 19 years,2014,629
20 to 24 years,2014,6254
25 to 29 years,2014,18155
30 to 34 years,2014,19414
35 to 39 years,2014,10192
40 to 44 years,2014,2117
15 to 19 years,2015,583
20 to 24 years,2015,6342
25 to 29 years,2015,18969
30 to 34 years,2015,19885
35 to 39 years,2015,10141
40 to 44 years,2015,2161
15 to 19 years,2016,602
20 to 24 years,2016,6649
25 to 29 years,2016,20635
30 to 34 years,2016,20816
35 to 39 years,2016,10535
40 to 44 years,2016,2259
15 to 19 years,2017,471
20 to 24 years,2017,6575
25 to 29 years,2017,20806
30 to 34 years,2017,20881
35 to 39 years,2017,10198
40 to 44 years,2017,2314
15 to 19 years,2018,409
20 to 24 years,2018,6022
25 to 29 years,2018,20895
30 to 34 years,2018,21541
35 to 39 years,2018,10107
40 to 44 years,2018,2345
15 to 19 years,2019,339
20 to 24 years,2019,5454
25 to 29 years,2019,20864
30 to 34 years,2019,22097
35 to 39 years,2019,9940
40 to 44 years,2019,2303
15 to 19 years,2020,274
20 to 24 years,2020,4694
25 to 29 years,2020,20771
30 to 34 years,2020,22773
35 to 39 years,2020,9987
40 to 44 years,2020,2268
15 to 19 years,2021,220
20 to 24 years,2021,4367
25 to 29 years,2021,21102
30 to 34 years,2021,24280
35 to 39 years,2021,10957
40 to 44 years,2021,2343
15 to 19 years,2022,197
20 to 24 years,2022,3908
25 to 29 years,2022,19136
30 to 34 years,2022,22784
35 to 39 years,2022,9974
40 to 44 years,2022,2211
15 to 19 years,2023,194
20 to 24 years,2023,3548
25 to 29 years,2023,18152
30 to 34 years,2023,23119
35 to 39 years,2023,10079
40 to 44 years,2023,2144
