Age,Year,Count
"15 to 19 years",2013,174407
"20 to 24 years",2013,176575
"25 to 29 years",2013,159475
"30 to 34 years",2013,163374
"35 to 39 years",2013,185843
"40 to 44 years",2013,192693
"15 to 19 years",2014,173716
"20 to 24 years",2014,180679
"25 to 29 years",2014,164508
"30 to 34 years",2014,160128
"35 to 39 years",2014,182734
"40 to 44 years",2014,192679
"15 to 19 years",2015,171815
"20 to 24 years",2015,184806
"25 to 29 years",2015,170197
"30 to 34 years",2015,158343
"35 to 39 years",2015,178824
"40 to 44 years",2015,194114
"15 to 19 years",2016,170996
"20 to 24 years",2016,189151
"25 to 29 years",2016,177111
"30 to 34 years",2016,159231
"35 to 39 years",2016,174101
"40 to 44 years",2016,196251
"15 to 19 years",2017,170361
"20 to 24 years",2017,191188
"25 to 29 years",2017,183135
"30 to 34 years",2017,162239
"35 to 39 years",2017,170741
"40 to 44 years",2017,193540
"15 to 19 years",2018,168701
"20 to 24 years",2018,191633
"25 to 29 years",2018,189431
"30 to 34 years",2018,165430
"35 to 39 years",2018,168153
"40 to 44 years",2018,188736
"15 to 19 years",2019,168141
"20 to 24 years",2019,190343
"25 to 29 years",2019,193458
"30 to 34 years",2019,170428
"35 to 39 years",2019,164829
"40 to 44 years",2019,185852
"15 to 19 years",2020,167639
"20 to 24 years",2020,186937
"25 to 29 years",2020,196402
"30 to 34 years",2020,175511
"35 to 39 years",2020,162485
"40 to 44 years",2020,181674
"15 to 19 years",2021,166863
"20 to 24 years",2021,184035
"25 to 29 years",2021,197432
"30 to 34 years",2021,180271
"35 to 39 years",2021,162234
"40 to 44 years",2021,176448
"15 to 19 years",2022,167881
"20 to 24 years",2022,183918
"25 to 29 years",2022,198620
"30 to 34 years",2022,185255
"35 to 39 years",2022,164736
"40 to 44 years",2022,172805
"15 to 19 years",2023,170222
"20 to 24 years",2023,184411
"25 to 29 years",2023,200743
"30 to 34 years",2023,193883
"35 to 39 years",2023,170315
"40 to 44 years",2023,172270
