"11rc -- Population according to age (5-year) and sex, 1865-2023"

"Year","Females 15 - 19 Population 31 Dec","Females 20 - 24 Population 31 Dec","Females 25 - 29 Population 31 Dec","Females 30 - 34 Population 31 Dec","Females 35 - 39 Population 31 Dec","Females 40 - 44 Population 31 Dec"
"2012",157292,165983,166069,167305,160340,160821
"2013",153643,166595,165567,170172,165351,154636
"2014",150090,167324,165545,172264,167323,154103
"2015",147120,165884,166960,173017,168005,155047
"2016",145470,163243,169295,172559,168331,157901
"2017",143840,159738,172102,170593,169737,161943
"2018",144041,155877,172237,169564,172424,166596
"2019",144441,152265,172593,169653,174660,168547
"2020",145710,149232,171182,171633,175975,169595
"2021",147886,147810,169118,174584,175888,170339
"2022",150416,147012,167020,179506,175371,172759
