"12dm -- Live births by sex, birth order and age of mother (1-year), 1990-2023"

"Year","Age of mother","Total Total Live births"
"2013","15",6
"2013","16",42
"2013","17",127
"2013","18",289
"2013","19",673
"2013","20",1020
"2013","21",1366
"2013","22",1681
"2013","23",2047
"2013","24",2325
"2013","25",2730
"2013","26",2954
"2013","27",3493
"2013","28",3984
"2013","29",4376
"2013","30",4483
"2013","31",4246
"2013","32",3819
"2013","33",3591
"2013","34",3180
"2013","35",2791
"2013","36",2400
"2013","37",1972
"2013","38",1444
"2013","39",1016
"2013","40",773
"2013","41",509
"2013","42",329
"2013","43",228
"2013","44",125
"2014","15",14
"2014","16",36
"2014","17",113
"2014","18",248
"2014","19",689
"2014","20",1006
"2014","21",1362
"2014","22",1614
"2014","23",1939
"2014","24",2338
"2014","25",2696
"2014","26",3104
"2014","27",3402
"2014","28",3820
"2014","29",4136
"2014","30",4231
"2014","31",4211
"2014","32",3935
"2014","33",3493
"2014","34",3143
"2014","35",2837
"2014","36",2388
"2014","37",1873
"2014","38",1449
"2014","39",1112
"2014","40",775
"2014","41",479
"2014","42",346
"2014","43",182
"2014","44",115
"2015","15",6
"2015","16",34
"2015","17",120
"2015","18",209
"2015","19",545
"2015","20",902
"2015","21",1183
"2015","22",1572
"2015","23",1832
"2015","24",2237
"2015","25",2669
"2015","26",3009
"2015","27",3368
"2015","28",3537
"2015","29",3711
"2015","30",4150
"2015","31",4231
"2015","32",3911
"2015","33",3568
"2015","34",3103
"2015","35",2744
"2015","36",2281
"2015","37",1912
"2015","38",1454
"2015","39",1180
"2015","40",792
"2015","41",468
"2015","42",315
"2015","43",199
"2015","44",107
"2016","15",16
"2016","16",30
"2016","17",95
"2016","18",188
"2016","19",475
"2016","20",779
"2016","21",1123
"2016","22",1296
"2016","23",1756
"2016","24",2164
"2016","25",2429
"2016","26",2858
"2016","27",3188
"2016","28",3423
"2016","29",3617
"2016","30",3673
"2016","31",3916
"2016","32",3631
"2016","33",3423
"2016","34",3004
"2016","35",2608
"2016","36",2291
"2016","37",1776
"2016","38",1541
"2016","39",1169
"2016","40",849
"2016","41",643
"2016","42",378
"2016","43",229
"2016","44",103
"2017","15",5
"2017","16",30
"2017","17",66
"2017","18",185
"2017","19",418
"2017","20",695
"2017","21",947
"2017","22",1277
"2017","23",1583
"2017","24",1861
"2017","25",2346
"2017","26",2649
"2017","27",2973
"2017","28",3311
"2017","29",3454
"2017","30",3442
"2017","31",3710
"2017","32",3502
"2017","33",3455
"2017","34",3011
"2017","35",2541
"2017","36",2219
"2017","37",1783
"2017","38",1479
"2017","39",1102
"2017","40",819
"2017","41",592
"2017","42",385
"2017","43",221
"2017","44",115
"2018","15",9
"2018","16",23
"2018","17",76
"2018","18",164
"2018","19",350
"2018","20",607
"2018","21",871
"2018","22",1072
"2018","23",1402
"2018","24",1740
"2018","25",2156
"2018","26",2513
"2018","27",2764
"2018","28",3167
"2018","29",3295
"2018","30",3468
"2018","31",3396
"2018","32",3252
"2018","33",3039
"2018","34",2915
"2018","35",2618
"2018","36",2173
"2018","37",1758
"2018","38",1418
"2018","39",1132
"2018","40",809
"2018","41",555
"2018","42",390
"2018","43",214
"2018","44",115
"2019","15",10
"2019","16",17
"2019","17",58
"2019","18",147
"2019","19",360
"2019","20",522
