Age,Year,Births
15 to 19 years,2013,1137
20 to 24 years,2013,8439
25 to 29 years,2013,17537
30 to 34 years,2013,19319
35 to 39 years,2013,9623
40 to 44 years,2013,1964
15 to 19 years,2014,1100
20 to 24 years,2014,8259
25 to 29 years,2014,17158
30 to 34 years,2014,19013
35 to 39 years,2014,9659
40 to 44 years,2014,1897
15 to 19 years,2015,914
20 to 24 years,2015,7726
25 to 29 years,2015,16294
30 to 34 years,2015,18963
35 to 39 years,2015,9571
40 to 44 years,2015,1881
15 to 19 years,2016,804
20 to 24 years,2016,7118
25 to 29 years,2016,15515
30 to 34 years,2016,17647
35 to 39 years,2016,9385
40 to 44 years,2016,2202
15 to 19 years,2017,704
20 to 24 years,2017,6363
25 to 29 years,2017,14733
30 to 34 years,2017,17120
35 to 39 years,2017,9124
40 to 44 years,2017,2132
15 to 19 years,2018,622
20 to 24 years,2018,5692
25 to 29 years,2018,13895
30 to 34 years,2018,16070
35 to 39 years,2018,9099
40 to 44 years,2018,2083
15 to 19 years,2019,592
20 to 24 years,2019,5213
25 to 29 years,2019,13049
30 to 34 years,2019,15558
35 to 39 years,2019,8987
40 to 44 years,2019,2053
15 to 19 years,2020,560
20 to 24 years,2020,4900
25 to 29 years,2020,13227
30 to 34 years,2020,16208
35 to 39 years,2020,9302
40 to 44 years,2020,2116
15 to 19 years,2021,543
20 to 24 years,2021,4573
25 to 29 years,2021,13684
30 to 34 years,2021,17956
35 to 39 years,2021,10171
40 to 44 years,2021,2500
15 to 19 years,2022,487
20 to 24 years,2022,4174
25 to 29 years,2022,12111
30 to 34 years,2022,16261
35 to 39 years,2022,9340
40 to 44 years,2022,2391
15 to 19 years,2023,472
20 to 24 years,2023,3983
25 to 29 years,2023,11170
30 to 34 years,2023,16126
35 to 39 years,2023,9075
40 to 44 years,2023,2353
