Age,Year,Count
15 to 19 years,2013,157292
20 to 24 years,2013,165983
25 to 29 years,2013,166069
30 to 34 years,2013,167305
35 to 39 years,2013,160340
40 to 44 years,2013,160821
15 to 19 years,2014,153643
20 to 24 years,2014,166595
25 to 29 years,2014,165567
30 to 34 years,2014,170172
35 to 39 years,2014,165351
40 to 44 years,2014,154636
15 to 19 years,2015,150090
20 to 24 years,2015,167324
25 to 29 years,2015,165545
30 to 34 years,2015,172264
35 to 39 years,2015,167323
40 to 44 years,2015,154103
15 to 19 years,2016,147120
20 to 24 years,2016,165884
25 to 29 years,2016,166960
30 to 34 years,2016,173017
35 to 39 years,2016,168005
40 to 44 years,2016,155047
15 to 19 years,2017,145470
20 to 24 years,2017,163243
25 to 29 years,2017,169295
30 to 34 years,2017,172559
35 to 39 years,2017,168331
40 to 44 years,2017,157901
15 to 19 years,2018,143840
20 to 24 years,2018,159738
25 to 29 years,2018,172102
30 to 34 years,2018,170593
35 to 39 years,2018,169737
40 to 44 years,2018,161943
15 to 19 years,2019,144041
20 to 24 years,2019,155877
25 to 29 years,2019,172237
30 to 34 years,2019,169564
35 to 39 years,2019,172424
40 to 44 years,2019,166596
15 to 19 years,2020,144441
20 to 24 years,2020,152265
25 to 29 years,2020,172593
30 to 34 years,2020,169653
35 to 39 years,2020,174660
40 to 44 years,2020,168547
15 to 19 years,2021,145710
20 to 24 years,2021,149232
25 to 29 years,2021,171182
30 to 34 years,2021,171633
35 to 39 years,2021,175975
40 to 44 years,2021,169595
15 to 19 years,2022,147886
20 to 24 years,2022,147810
25 to 29 years,2022,169118
30 to 34 years,2022,174584
35 to 39 years,2022,175888
40 to 44 years,2022,170339
15 to 19 years,2023,150416
20 to 24 years,2023,147012
25 to 29 years,2023,167020
30 to 34 years,2023,179506
35 to 39 years,2023,175371
40 to 44 years,2023,172759
