Age,Year,Births
15 to 19 years,2013,5826
20 to 24 years,2013,12814
25 to 29 years,2013,22722
30 to 34 years,2013,28412
35 to 39 years,2013,16645
40 to 44 years,2013,2906
15 to 19 years,2014,6125
20 to 24 years,2014,13292
25 to 29 years,2014,23081
30 to 34 years,2014,28818
35 to 39 years,2014,17968
40 to 44 years,2014,3156
15 to 19 years,2015,5787
20 to 24 years,2015,13536
25 to 29 years,2015,23019
30 to 34 years,2015,27965
35 to 39 years,2015,18341
40 to 44 years,2015,3801
15 to 19 years,2016,6085
20 to 24 years,2016,13872
25 to 29 years,2016,23577
30 to 34 years,2016,27944
35 to 39 years,2016,18240
40 to 44 years,2016,4102
15 to 19 years,2017,5481
20 to 24 years,2017,13430
25 to 29 years,2017,23542
30 to 34 years,2017,27304
35 to 39 years,2017,17875
40 to 44 years,2017,4373
15 to 19 years,2018,5232
20 to 24 years,2018,13065
25 to 29 years,2018,23250
30 to 34 years,2018,27165
35 to 39 years,2018,16785
40 to 44 years,2018,4572
15 to 19 years,2019,4967
20 to 24 years,2019,12960
25 to 29 years,2019,24039
30 to 34 years,2019,26435
35 to 39 years,2019,16465
40 to 44 years,2019,4563
15 to 19 years,2020,5069
20 to 24 years,2020,12910
25 to 29 years,2020,25268
30 to 34 years,2020,28280
35 to 39 years,2020,16513
40 to 44 years,2020,4624
15 to 19 years,2021,4476
20 to 24 years,2021,12446
25 to 29 years,2021,26000
30 to 34 years,2021,29064
35 to 39 years,2021,16733
40 to 44 years,2021,4492
15 to 19 years,2022,4002
20 to 24 years,2022,11835
25 to 29 years,2022,25237
30 to 34 years,2022,27896
35 to 39 years,2022,15371
40 to 44 years,2022,4101
15 to 19 years,2023,3925
20 to 24 years,2023,10889
25 to 29 years,2023,24035
30 to 34 years,2023,27036
35 to 39 years,2023,15368
40 to 44 years,2023,3956
