22.2.2.1. Live births by county and region, quarterly, cumulated data;;;;;;;;;;;;;;;;;;;;;
Name of territorial units;Level of territorial units;2020 I. quarter;2020 I–II. quarter;2020 I–III. quarter;2020 I–IV. quarter;2021 I. quarter;2021 I–II. quarter;2021 I–III. quarter;2021 I–IV. quarter;2022 I. quarter;2022 I–II. quarter;2022 I–III. quarter;2022 I–IV. quarter;2023 I. quarter;2023 I–II. quarter;2023 I–III. quarter;2023 I–IV. quarter;2024 I. quarter;2024 I–II. quarter;2024 I–III. quarter;2024 I–IV. quarter
Number of live births, persons;;;;;;;;;;;;;;;;;;;;;
Budapest;capital, region;3 712;7 378;11 249;14 623;3 445;7 194;11 332;15 095;2 944;6 658;10 521;14 220;3 453;6 794;10 471;13 797;2 833;;;
Pest ;county, region;3 141;6 361;10 043;13 275;3 211;6 362;9 927;13 221;2 708;5 935;9 403;12 557;3 158;6 223;9 423;12 345;2 797;;;
Central Hungary;large region;6 853;13 739;21 292;27 898;6 656;13 556;21 259;28 316;5 652;12 593;19 924;26 777;6 611;13 017;19 894;26 142;5 630;;;
Fejér;county;926;1 873;2 982;3 996;993;1 959;3 082;4 135;844;1 852;2 890;3 917;867;1 762;2 746;3 672;900;;;
Komárom-Esztergom;county;636;1 279;2 032;2 755;663;1 336;2 096;2 784;639;1 295;1 992;2 650;601;1 227;1 851;2 485;596;;;
Veszprém;county;696;1 320;2 142;2 864;714;1 437;2 190;2 960;630;1 330;2 063;2 759;648;1 301;1 974;2 583;612;;;
Central Transdanubia;region;2 258;4 472;7 156;9 615;2 370;4 732;7 368;9 879;2 113;4 477;6 945;9 326;2 116;4 290;6 571;8 740;2 108;;;
Gyõr-Moson-Sopron;county;1 098;2 222;3 394;4 493;1 098;2 228;3 496;4 640;980;2 126;3 391;4 512;1 044;2 141;3 268;4 304;904;;;
Vas;county;497;1 006;1 615;2 172;506;1 017;1 580;2 126;479;976;1 555;2 076;479;944;1 430;1 901;435;;;
Zala;county;469;912;1 451;1 899;531;983;1 539;2 060;425;861;1 339;1 837;483;907;1 381;1 811;378;;;
Western Transdanubia;region;2 064;4 140;6 460;8 564;2 135;4 228;6 615;8 826;1 884;3 963;6 285;8 425;2 006;3 992;6 079;8 016;1 717;;;
Baranya;county;778;1 503;2 326;3 065;736;1 426;2 212;3 026;674;1 353;2 147;2 842;708;1 378;2 140;2 790;631;;;
Somogy;county;603;1 177;1 923;2 605;644;1 223;1 913;2 568;538;1 156;1 847;2 435;580;1 085;1 659;2 218;523;;;
Tolna;county;462;936;1 507;1 979;456;937;1 431;1 950;350;794;1 275;1 737;414;865;1 294;1 681;403;;;
Southern Transdanubia;region;1 843;3 616;5 756;7 649;1 836;3 586;5 556;7 544;1 562;3 303;5 269;7 014;1 702;3 328;5 093;6 689;1 557;;;
Transdanubia;large region;6 165;12 228;19 372;25 828;6 341;12 546;19 539;26 249;5 559;11 743;18 499;24 765;5 824;11 610;17 743;23 445;5 382;;;
Borsod-Abaúj-Zemplén;county;1 784;3 470;5 353;7 158;1 749;3 373;5 176;6 916;1 621;3 342;5 129;6 817;1 617;3 192;4 970;6 523;1 595;;;
Heves;county;671;1 353;2 113;2 801;638;1 299;2 087;2 774;618;1 232;1 980;2 634;606;1 194;1 887;2 517;618;;;
Nógrád;county;433;872;1 361;1 836;462;868;1 332;1 800;368;750;1 271;1 682;450;790;1 262;1 649;416;;;
Northern Hungary;region;2 888;5 695;8 827;11 795;2 849;5 540;8 595;11 490;2 607;5 324;8 380;11 133;2 673;5 176;8 119;10 689;2 629;;;
Hajdú-Bihar;county;1 317;2 665;4 225;5 633;1 370;2 641;4 233;5 752;1 218;2 548;4 019;5 344;1 236;2 533;3 972;5 145;1 197;;;
Jász-Nagykun-Szolnok;county;844;1 698;2 697;3 564;819;1 605;2 538;3 397;782;1 638;2 542;3 388;762;1 478;2 432;3 163;756;;;
Szabolcs-Szatmár-Bereg;county;1 436;2 930;4 693;6 243;1 483;2 876;4 557;6 124;1 406;2 851;4 481;5 899;1 371;2 737;4 246;5 669;1 435;;;
Northern Great Plain;region;3 597;7 293;11 615;15 440;3 672;7 122;11 328;15 273;3 406;7 037;11 042;14 631;3 369;6 748;10 650;13 977;3 388;;;
Bács-Kiskun;county;1 153;2 318;3 686;4 909;1 134;2 187;3 504;4 740;1 000;2 143;3 376;4 532;1 125;2 152;3 348;4 432;965;;;
Békés;county;708;1 350;2 113;2 759;724;1 340;2 158;2 853;553;1 165;1 858;2 481;640;1 235;1 867;2 420;594;;;
Csongrád-Csanád;county;760;1 535;2 487;3 368;857;1 705;2 720;3 635;803;1 628;2 551;3 380;811;1 570;2 433;3 221;701;;;
Southern Great Plain;region;2 621;5 203;8 286;11 036;2 715;5 232;8 382;11 228;2 356;4 936;7 785;10 393;2 576;4 957;7 648;10 073;2 260;;;
Great Plain and North;large region;9 106;18 191;28 728;38 271;9 236;17 894;28 305;37 991;8 369;17 297;27 207;36 157;8 618;16 881;26 417;34 739;8 277;;;
Country total;country;22 257;44 349;69 667;92 338;22 338;44 204;69 450;93 039;19 735;42 029;66 244;88 491;21 269;41 957;64 746;85 225;19 289;;;
Corresponding period of the previous year= 100.0%;;;;;;;;;;;;;;;;;;;;;
Budapest;capital, region;106,5;103,7;101,7;98,9;92,8;97,5;100,7;103,2;85,5;92,5;92,8;94,2;117,3;102,0;99,5;97,0;82,0;;;
Pest ;county, region;109,9;108,4;108,2;105,8;102,2;100,0;98,8;99,6;84,3;93,3;94,7;95,0;116,6;104,9;100,2;98,3;88,6;;;
