Age,Year,Count
15 to 19 years,2013,276125
20 to 24 years,2013,305834
25 to 29 years,2013,298578
30 to 34 years,2013,354712
35 to 39 years,2013,417157
40 to 44 years,2013,358822
15 to 19 years,2014,265143
20 to 24 years,2014,305566
25 to 29 years,2014,297442
30 to 34 years,2014,335093
35 to 39 years,2014,422786
40 to 44 years,2014,358597
15 to 19 years,2015,253806
20 to 24 years,2015,304171
25 to 29 years,2015,297793
30 to 34 years,2015,317782
35 to 39 years,2015,412167
40 to 44 years,2015,372604
15 to 19 years,2016,245347
20 to 24 years,2016,298973
25 to 29 years,2016,298819
30 to 34 years,2016,307420
35 to 39 years,2016,393107
40 to 44 years,2016,390669
15 to 19 years,2017,239337
20 to 24 years,2017,290073
25 to 29 years,2017,300275
30 to 34 years,2017,299055
35 to 39 years,2017,373952
40 to 44 years,2017,404889
15 to 19 years,2018,237828
20 to 24 years,2018,280966
25 to 29 years,2018,302341
30 to 34 years,2018,296234
35 to 39 years,2018,354107
40 to 44 years,2018,415650
15 to 19 years,2019,236508
20 to 24 years,2019,272262
25 to 29 years,2019,303908
30 to 34 years,2019,296687
35 to 39 years,2019,336011
40 to 44 years,2019,422530
15 to 19 years,2020,236888
20 to 24 years,2020,261856
25 to 29 years,2020,304796
30 to 34 years,2020,299259
35 to 39 years,2020,320647
40 to 44 years,2020,412894
15 to 19 years,2021,236815
20 to 24 years,2021,252965
25 to 29 years,2021,300576
30 to 34 years,2021,300563
35 to 39 years,2021,310447
40 to 44 years,2021,394017
15 to 19 years,2022,239618
20 to 24 years,2022,248122
25 to 29 years,2022,293117
30 to 34 years,2022,303215
35 to 39 years,2022,303768
40 to 44 years,2022,376209
15 to 19 years,2023,237883
20 to 24 years,2023,252063
25 to 29 years,2023,274063
30 to 34 years,2023,298414
35 to 39 years,2023,301336
40 to 44 years,2023,353231
