"Statistics","Year","Region of Residence","Age Group of Mother","UNIT","VALUE"
"Births Registered Provisional","2022","Border","Under 20 years","Number","50"
"Births Registered Provisional","2022","Border","20 - 24 years","Number","352"
"Births Registered Provisional","2022","Border","25 - 29 years","Number","826"
"Births Registered Provisional","2022","Border","30 - 34 years","Number","1577"
"Births Registered Provisional","2022","Border","35 - 39 years","Number","1385"
"Births Registered Provisional","2022","Border","40 years and over","Number","371"
"Births Registered Provisional","2022","West","Under 20 years","Number","54"
"Births Registered Provisional","2022","West","20 - 24 years","Number","311"
"Births Registered Provisional","2022","West","25 - 29 years","Number","696"
"Births Registered Provisional","2022","West","30 - 34 years","Number","1668"
"Births Registered Provisional","2022","West","35 - 39 years","Number","1889"
"Births Registered Provisional","2022","West","40 years and over","Number","546"
"Births Registered Provisional","2022","Mid-West","Under 20 years","Number","89"
"Births Registered Provisional","2022","Mid-West","20 - 24 years","Number","485"
"Births Registered Provisional","2022","Mid-West","25 - 29 years","Number","941"
"Births Registered Provisional","2022","Mid-West","30 - 34 years","Number","1780"
"Births Registered Provisional","2022","Mid-West","35 - 39 years","Number","1647"
"Births Registered Provisional","2022","Mid-West","40 years and over","Number","480"
"Births Registered Provisional","2022","South-East","Under 20 years","Number","54"
"Births Registered Provisional","2022","South-East","20 - 24 years","Number","446"
"Births Registered Provisional","2022","South-East","25 - 29 years","Number","877"
"Births Registered Provisional","2022","South-East","30 - 34 years","Number","1709"
"Births Registered Provisional","2022","South-East","35 - 39 years","Number","1409"
"Births Registered Provisional","2022","South-East","40 years and over","Number","381"
"Births Registered Provisional","2022","South-West","Under 20 years","Number","78"
"Births Registered Provisional","2022","South-West","20 - 24 years","Number","487"
"Births Registered Provisional","2022","South-West","25 - 29 years","Number","1080"
"Births Registered Provisional","2022","South-West","30 - 34 years","Number","2548"
"Births Registered Provisional","2022","South-West","35 - 39 years","Number","2638"
"Births Registered Provisional","2022","South-West","40 years and over","Number","746"
"Births Registered Provisional","2022","Dublin","Under 20 years","Number","268"
"Births Registered Provisional","2022","Dublin","20 - 24 years","Number","1379"
"Births Registered Provisional","2022","Dublin","25 - 29 years","Number","2776"
"Births Registered Provisional","2022","Dublin","30 - 34 years","Number","5733"
"Births Registered Provisional","2022","Dublin","35 - 39 years","Number","5417"
"Births Registered Provisional","2022","Dublin","40 years and over","Number","1577"
"Births Registered Provisional","2022","Mid-East","Under 20 years","Number","125"
"Births Registered Provisional","2022","Mid-East","20 - 24 years","Number","668"
