id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;oznaczenie_braku_wartosci;nazwa_braku_wartosci;oznaczenie_tajnosci;nazwa_tajnosci;oznaczenie_flagi;nazwa_flaga;notka
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6702863;Total;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;369576;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703185;not stated;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;;(.);data not available, classified data (statistical confidentiality) or providing data impossible or purposeless;;;;;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703233;50 years and over;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;3;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703261;14 years and less;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;48;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703385;From 15 to 19 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;14444;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703431;From 20 to 24 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;62949;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703452;From 25 to 29 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;130958;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703469;From 30 to 34 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;109789;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703484;From 35 to 39 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;43343;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703503;From 40 to 44 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;7714;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703518;From 45 to 49 years;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;328;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6702863;Total;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;375160;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703185;not stated;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;;(.);data not available, classified data (statistical confidentiality) or providing data impossible or purposeless;;;;;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703233;50 years and over;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;7;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703261;14 years and less;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;51;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703385;From 15 to 19 years;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;13236;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703431;From 20 to 24 years;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;60053;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703452;From 25 to 29 years;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;129245;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703469;From 30 to 34 years;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;117017;ND;Not applicable;nd;Uncovered data;f;Full population;
571;Live births;413;"Poland, voivodships, poviats, gminas; Type of locality; Child's sex; Age of mother";33617;POLAND;93;[person];3;Type of locality;6655092;Total;67;Child's sex;6648242;Total;222;Age of mother;6703484;From 35 to 39 years;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;46891;ND;Not applicable;nd;Uncovered data;f;Full population;
